#Units1,batch_size,activation,lr,max_epochs,optimizer,weight_decay,momentum,nesterov,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.755281925201416,2.993732531865438,0.10296262273026856,50.53349630037943,0.23700069459391138,79
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.1264997323354087,2.996333201726278,0.08724008064050572,51.536669810613,0.3545215284485246,80
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.5877938270568848,2.9969592889149985,0.08247116538081206,33.604519526163735,0.23849522574368365,81
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,True,2.6028823852539062,3.000594695409139,0.08803118182551498,34.475849310557045,0.2920961394263171,82
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.0767229000727334,3.0164658228556314,0.08003993235552576,50.990162213643394,0.18952209865662878,83
100,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.799232562383016,3.017512321472168,0.08409064681817993,50.868884245554604,0.3113607945571828,84
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.233024835586548,3.018134832382202,0.1015781212669403,33.62433282534281,0.2933579051070692,85
50,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.7623823483784995,3.0181548595428467,0.09540095323997475,50.23133500417074,0.2622524192836061,86
100,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.7979966004689536,3.020821730295817,0.0996608353340128,51.22714281082153,0.29027360147268766,87
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.2575441201527915,3.0223519007364907,0.117383029220089,34.08571227391561,0.25046732699356816,88
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.185798486073812,3.0249737898508706,0.08053857076102056,51.510280529658,0.2780638678006604,89
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.677051305770874,3.0259594917297363,0.07691952367651557,51.37796711921692,0.4299147647227874,90
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.6920185883839927,3.032050132751465,0.08677933872144716,51.60019056002299,0.34352666885892413,91
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,True,2.6212361653645835,3.0330408414204917,0.06647568427442681,33.68542671203613,0.18021677914006864,92
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.13613231976827,3.033202807108561,0.05760445246674674,34.00819420814514,0.27395795691964997,93
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,True,2.6628104050954184,3.033303737640381,0.09375821869856818,33.68097710609436,0.3078947377294383,94
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.0394668579101562,3.0371574560801187,0.12979339139067497,51.25371972719828,0.16079611211909725,95
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,True,2.638669967651367,3.0469282468159995,0.09901875129391957,33.62570182482401,0.2561155940108469,96
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.7446912924448648,3.049587885538737,0.07603170877997704,50.54869532585144,0.14322725308316056,97
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.7083442211151123,3.049751122792562,0.06899899733955925,50.87523007392883,0.025156382781400186,98
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.7050203482309976,3.052868445714315,0.09831933372385061,51.39030623435974,0.04418533686183444,99
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,True,2.718674659729004,3.053836981455485,0.06732475266139683,50.15916609764099,0.3212774297043972,100
