#Units1,#Units2,activation,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.6806601683298745,2.937411626180013,0.06431539140379955,56.919480403264366,0.4493014995229317,49
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.280040423075358,2.940072695414225,0.08182797616482348,86.98816013336182,0.9567421383998558,50
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.7240402698516846,2.945663054784139,0.07234739408378793,86.83389751116435,1.1725313213435062,51
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.6248059272766113,2.950350046157837,0.02937108386406346,57.26405954360962,0.3939205318577106,52
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.683933655420939,2.9525083700815835,0.08610364880293803,56.81474002202352,0.323273431674868,53
30,20,<built-in method tanh of type object at 0x7f9e915a4780>,1219,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.4391045570373535,2.958240032196045,0.08616146148943128,27.05053965250651,0.35953356118659435,54
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,2.6834964752197266,2.9598187605539956,0.07883747413718438,57.36617080370585,0.742612257743402,55
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,2.7019282976786294,2.9616968631744385,0.06080098916731919,86.78721785545349,0.6174031657726079,56
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.6677111784617105,2.963913917541504,0.0854929314973934,56.591275215148926,0.3716491397933802,57
50,20,<built-in method tanh of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.283438523610433,2.97349747021993,0.08526695791093897,57.344594637552895,0.954524343458099,58
