rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,param_neurons_layer_1,weight_decay,mean_fit_time
461,6.945689678192139,0.1161467914027966,6.903748194376628,0.11332031744816856,relu,1219,300,glorot_uniform,0.1,0.0,False,80,0.001,0.5921834309895834
462,6.965362548828125,1.818355442572373,6.440151691436768,1.4878643089988757,relu,256,300,glorot_uniform,0.3,0.2,False,80,0.0001,0.994069496790568
463,6.966120560963948,0.9818049323859857,6.843375523885091,0.8836562549469172,relu,128,300,glorot_uniform,0.1,0.0,False,40,0.1,1.112476110458374
464,6.966987609863281,0.3407952616219467,6.941743850708008,0.5987292122201731,relu,128,300,glorot_uniform,0.1,0.4,False,120,0.1,1.262485106786092
465,6.983891328175862,1.0457523764453396,6.849022388458252,1.315593219977343,relu,256,300,glorot_uniform,0.3,0.2,False,80,0.01,0.9059146245320638
466,6.9917300542195635,0.09546168416262786,6.688128312428792,0.14024074739132952,relu,1219,300,glorot_uniform,0.1,0.0,False,120,0.0001,0.59153151512146
467,6.999584039052327,0.254001562798246,6.844679832458496,0.26205184383830404,relu,64,300,glorot_uniform,0.1,0.4,False,80,0.1,1.7273412545522053
468,7.013602415720622,0.6999599734390184,7.003123124440511,0.478507890013704,relu,256,300,glorot_uniform,0.1,0.9,False,40,0.1,0.881918748219808
469,7.025229612986247,1.4047840407544274,6.875608444213867,1.35452669645836,relu,64,300,glorot_uniform,0.1,0.0,False,80,0.01,1.6852174599965413
470,7.037795225779216,0.13794353565656084,6.9026211102803545,0.05464676127517936,relu,64,300,glorot_uniform,0.001,0.2,False,120,0.0001,2.296137889226278
471,7.042996883392334,1.6016896307262887,6.680221716562907,1.7266147298535295,relu,256,300,glorot_uniform,0.3,0.0,False,40,0.001,1.0056813557942708
472,7.054510593414307,0.48601315147380225,6.780319690704346,0.4306678111934375,relu,256,300,glorot_uniform,0.1,0.0,False,40,0.001,1.0155135790507
473,7.060650030771892,0.12282472603858152,6.765807151794434,0.17523778995110864,relu,1219,300,glorot_uniform,0.1,0.4,False,40,0.1,0.5873863697052002
474,7.0660451253255205,0.08164445414951722,6.955804506937663,0.1064559866932521,relu,64,300,glorot_uniform,0.001,0.2,False,80,0.001,1.9811646938323975
475,7.071769555409749,0.09544576410839942,6.976396878560384,0.05428081584528792,relu,1219,300,glorot_uniform,0.01,0.4,False,80,0.0001,0.5739463170369467
476,7.077264149983724,0.7991553806770131,7.097581545511882,0.937541474150581,relu,128,300,glorot_uniform,0.1,0.0,False,120,0.1,1.284199873606364
477,7.080663522084554,0.22826424530145162,6.951705455780029,0.0740364280245499,relu,1219,300,glorot_uniform,0.01,0.4,False,120,0.0001,0.6736462116241455
478,7.0897871653238935,2.5465849367843614,6.998515764872233,2.644718987875182,relu,256,300,glorot_uniform,0.3,0.0,False,120,0.01,1.0137027899424236
479,7.111663023630778,0.17139321485450337,6.9977372487386065,0.05055449496635395,relu,1219,300,glorot_uniform,0.01,0.4,False,80,0.001,0.6315800348917643
480,7.12081782023112,0.15069151965944366,7.226120313008626,0.08939932670187929,relu,1219,300,glorot_uniform,0.1,0.0,False,80,0.01,0.5455834865570068
481,7.120841185251872,0.15748107761582159,6.975340843200684,0.0055472472015322535,relu,1219,300,glorot_uniform,0.01,0.4,False,120,0.001,0.7417916456858317
482,7.12151304880778,0.062339495778028095,7.025805791219075,0.13347857086173942,relu,64,300,glorot_uniform,0.001,0.2,False,120,0.001,2.153381903966268
483,7.121810754140218,0.07634367526107294,6.83831803003947,0.04902017303471315,relu,1219,300,glorot_uniform,0.1,0.4,False,80,0.1,0.5702761809031168
484,7.125745455423991,0.8623018241842753,6.906752745310466,0.6212460805623619,relu,128,300,glorot_uniform,0.1,0.2,False,40,0.1,1.5571424166361492
